formula,a,c,d_mx,d_ma,bulk modulus
Sc2AlC,3.297,15.04,1.242,2.517,88
Sc2AlN,3.217,14.53,1.231,2.401,107
Sc2SiC,3.301,13.95,1.242,2.247,106
Sc2SiN,3.219,13.5,1.231,2.143,128
Sc2PC,3.365,12.77,1.25,1.944,121
Sc2PN,3.403,11.89,1.236,1.737,137
Sc2SC,3.451,11.95,1.225,1.763,126
Sc2SN,3.368,11.79,1.192,1.755,141
Sc2GaC,3.306,14.7,1.24,2.433,89
Sc2GaN,3.232,14.11,1.23,2.298,110
Sc2GeC,3.324,14.06,1.235,2.279,103
Sc2GeN,3.244,13.63,1.218,2.19,122
Sc2AsC,3.38,13.26,1.229,2.086,113
Sc2AsN,3.376,12.55,1.216,1.921,131
Sc2CdC,3.324,15.63,1.23,2.678,73
Sc2CdN,3.248,15.12,1.217,2.563,92
Sc2InC,3.355,15.36,1.226,2.614,86
Sc2InN,3.279,14.9,1.202,2.524,102
Sc2SnC,3.38,14.87,1.211,2.507,93
Sc2SnN,3.306,14.48,1.184,2.437,110
Sc2TlC,3.375,15.31,1.221,2.607,84
Sc2TlN,3.304,14.86,1.193,2.523,102
Sc2PbC,3.411,15.1,1.198,2.577,87
Sc2PbN,3.342,14.68,1.166,2.504,101
Ti2AlC,3.071,13.73,1.147,2.286,138
Ti2AlN,2.999,13.63,1.165,2.243,155
Ti2SiC,3.057,12.85,1.179,2.034,169
Ti2SiN,2.99,12.83,1.188,2.019,183
Ti2PC,3.191,11.5,1.166,1.71,187
Ti2PN,3.161,11.34,1.122,1.712,200
Ti2SC,3.208,11.27,1.118,1.7,177
Ti2SN,3.202,11.06,1.051,1.715,181
Ti2GaC,3.083,13.43,1.143,2.215,139
Ti2GaN,3.016,13.33,1.154,2.178,159
Ti2GeC,3.093,13.01,1.157,2.097,152
Ti2GeN,3.042,12.94,1.154,2.081,167
Ti2AsC,3.195,12.12,1.138,1.892,169
Ti2AsN,3.201,11.72,1.086,1.844,181
Ti2CdC,3.106,14.54,1.127,2.509,116
Ti2CdN,3.082,14.15,1.088,2.45,130
Ti2InC,3.148,14.2,1.11,2.44,128
Ti2InN,3.095,14.05,1.111,2.401,138
Ti2SnC,3.18,13.79,1.111,2.335,135
Ti2SnN,3.18,13.46,1.045,2.32,136
Ti2TlC,3.177,14.22,1.098,2.457,125
Ti2TlN,3.167,13.85,1.044,2.418,129
Ti2PbC,3.231,14.01,1.08,2.423,119
Ti2PbN,3.239,13.65,0.998,2.415,121
V2AlC,2.914,13.11,1.119,2.159,175
V2AlN,2.877,13.13,1.122,2.16,180
V2SiC,2.965,11.96,1.114,1.877,211
V2SiN,2.944,12.02,1.083,1.922,209
V2PC,3.079,10.9,1.07,1.654,227
V2PN,3.046,11.03,1.038,1.72,229
V2SC,3.124,10.76,1.012,1.679,199
V2GaC,2.942,12.85,1.098,2.114,175
V2GaN,2.933,12.73,1.072,2.11,174
V2GeC,3.016,12.18,1.07,1.976,182
V2GeN,3.007,12.1,1.035,1.989,194
V2AsC,3.113,11.42,1.04,1.816,197
V2AsN,3.084,11.52,1.011,1.868,203
V2CdC,2.995,13.85,1.048,2.414,120
V2CdN,2.974,13.74,1.028,2.408,158
V2InC,3.03,13.59,1.053,2.345,158
V2InN,3.041,13.33,1.001,2.332,154
V2SnC,3.133,12.92,0.98,2.251,138
V2SnN,3.138,12.74,0.924,2.261,143
V2TlC,3.115,13.44,0.981,2.379,119
V2TlN,3.159,12.98,0.884,2.362,140
V2PbC,3.204,13.14,0.92,2.364,123
V2PbN,3.206,12.98,0.867,2.378,122
Cr2AlC,2.848,12.68,1.074,2.096,186
Cr2AlN,2.835,12.73,1.063,2.119,184
Cr2SiC,2.878,11.89,1.068,1.905,215
Cr2SiN,2.88,11.85,1.028,1.935,222
Cr2PC,3.002,10.88,1.027,1.693,224
Cr2PN,2.995,10.94,1.037,1.697,210
Cr2SC,3.111,10.47,0.949,1.668,192
Cr2GaC,2.875,12.5,1.06,2.066,185
Cr2GaN,2.91,12.29,0.995,2.077,166
Cr2GeC,2.942,12.02,1.024,1.979,200
Cr2GeN,2.972,11.79,0.966,1.981,191
Cr2AsC,3.042,11.38,0.984,1.861,195
Cr2AsN,3.07,11.15,0.897,1.889,206
Cr2CdC,2.927,13.58,1.008,2.386,158
Cr2CdN,3.004,13.2,0.924,2.375,139
Cr2InC,3.026,13.05,0.963,2.299,127
Cr2InN,3.062,12.72,0.891,2.289,156
Cr2SnC,3.102,12.54,0.926,2.208,156
Cr2SnN,3.087,12.45,0.89,2.221,163
Cr2TlC,3.093,13.16,0.931,2.359,113
Cr2TlN,3.107,12.8,0.868,2.331,146
Cr2PbC,3.161,12.85,0.889,2.324,133
Cr2PbN,3.153,12.78,0.849,2.345,122
Mo2AlC,3.038,13.48,1.207,2.162,196
Mo2SiC,3.119,12.39,1.159,1.938,225
Mo2PC,3.2,11.62,1.113,1.793,225
Mo2PN,3.324,10.94,0.965,1.771,226
Mo2SN,3.34,10.96,0.955,1.785,204
Mo2GaC,3.084,13.16,1.168,2.121,190
Mo2GaN,2.878,14.51,1.399,2.229,224
Mo2GeC,3.149,12.64,1.131,2.028,212
Mo2AsC,3.225,12.17,1.082,1.959,209
Mo2AsN,3.342,11.47,0.95,1.917,208
Mo2CdC,3.089,14.37,1.142,2.45,162
Mo2CdN,2.919,15.36,1.343,2.498,185
Mo2InC,3.14,14.01,1.126,2.375,169
Mo2SnC,3.203,13.52,1.095,2.285,184
Mo2TlC,3.191,14.02,1.085,2.418,158
Mo2TlN,3.321,13.3,0.929,2.395,136
Mo2PbC,3.241,13.84,1.068,2.392,158
Mo2PbN,3.34,13.23,0.944,2.364,141
Nb2AlC,3.125,13.91,1.238,2.239,173
Nb2AlN,3.009,14.38,1.349,2.247,194
Nb2SiC,3.233,12.38,1.197,1.899,209
Nb2SiN,3.242,12.15,1.146,1.891,213
Nb2PC,3.303,11.61,1.158,1.745,226
Nb2PN,3.294,11.53,1.119,1.763,219
Nb2SC,3.312,11.65,1.11,1.803,197
Nb2SN,3.145,12.29,1.294,1.779,223
Nb2GaC,3.153,13.59,1.214,2.183,177
Nb2GaN,3.007,14.32,1.355,2.226,198
Nb2GeC,3.259,12.6,1.166,1.985,192
Nb2GeN,3.269,12.35,1.118,1.969,200
Nb2AsC,3.339,12,1.129,1.87,204
Nb2AsN,3.322,11.97,1.091,1.901,205
Nb2CdC,3.175,14.65,1.183,2.479,148
Nb2CdN,3.176,14.4,1.142,2.457,152
Nb2InC,3.196,14.47,1.188,2.43,159
Nb2InN,3.215,14.13,1.131,2.401,158
Nb2SnC,3.273,13.85,1.141,2.321,162
Nb2SnN,3.282,13.6,1.088,2.311,164
Nb2TlC,3.235,14.47,1.157,2.46,149
Nb2TlN,3.313,13.75,1.044,2.394,112
Nb2PbC,3.313,14.1,1.11,2.414,142
Nb2PbN,3.386,13.51,0.993,2.384,128
Zr2AlC,3.333,14.59,1.269,2.38,125
Zr2AlN,3.266,14.4,1.282,2.319,141
Zr2SiC,3.331,13.61,1.297,2.106,152
Zr2SiN,3.278,13.49,1.29,2.081,165
Zr2PC,3.467,12.25,1.282,1.779,174
Zr2PN,3.427,12.08,1.233,1.786,183
Zr2SC,3.435,12.25,1.233,1.83,165
Zr2SN,3.418,12.02,1.178,1.827,171
Zr2GaC,3.343,14.25,1.267,2.295,128
Zr2GaN,3.283,14.04,1.272,2.238,145
Zr2GeC,3.346,13.82,1.281,2.173,146
Zr2GeN,3.304,13.64,1.266,2.144,156
Zr2AsC,3.484,12.67,1.263,1.905,161
Zr2AsN,3.46,12.41,1.21,1.893,171
Zr2CdC,3.345,15.36,1.255,2.585,105
Zr2CdN,3.331,14.87,1.214,2.503,121
Zr2InC,3.376,15.09,1.241,2.531,119
Zr2InN,3.307,14.98,1.258,2.487,134
Zr2SnC,3.384,14.73,1.255,2.428,129
Zr2SnN,3.321,14.71,1.26,2.418,140
Zr2TlC,3.392,15.12,1.232,2.547,117
Zr2TlN,3.332,14.98,1.24,2.504,129
Zr2PbC,3.418,14.95,1.229,2.51,117
Zr2PbN,3.357,14.95,1.234,2.502,127
Hf2AlC,3.278,14.39,1.248,2.349,138
Hf2AlN,3.198,14.28,1.275,2.296,158
Hf2SiC,3.277,13.42,1.274,2.082,167
Hf2SiN,3.217,13.34,1.277,2.057,182
Hf2PC,3.422,12.04,1.255,1.755,188
Hf2PN,3.376,11.89,1.215,1.758,198
Hf2SC,3.383,12.06,1.205,1.811,179
Hf2SN,3.347,11.92,1.172,1.809,186
Hf2GaC,3.289,14.04,1.244,2.266,141
Hf2GaN,3.217,13.91,1.263,2.215,160
Hf2GeC,3.298,13.61,1.255,2.147,155
Hf2GeN,3.25,13.44,1.249,2.111,170
Hf2AsC,3.441,12.46,1.233,1.88,175
Hf2AsN,3.413,12.21,1.19,1.863,183
Hf2CdC,3.293,15.15,1.237,2.551,119
Hf2CdN,3.27,14.69,1.204,2.468,136
Hf2InC,3.327,14.87,1.218,2.499,131
Hf2InN,3.245,14.87,1.25,2.467,147
Hf2SnC,3.341,14.52,1.227,2.402,139
Hf2SnN,3.265,14.59,1.248,2.399,152
Hf2TlC,3.346,14.87,1.207,2.51,129
Hf2TlN,3.269,14.88,1.235,2.484,142
Hf2PbC,3.379,14.71,1.196,2.483,126
Hf2PbN,3.305,14.8,1.219,2.482,134
Ta2AlC,3.102,13.95,1.256,2.231,193
Ta2AlN,2.984,14.49,1.382,2.241,217
Ta2SiC,3.234,12.32,1.193,1.888,226
Ta2SiN,3.242,12.09,1.157,1.866,230
Ta2PC,3.304,11.56,1.15,1.74,243
Ta2PN,3.157,12.24,1.32,1.741,255
Ta2SC,3.305,11.67,1.102,1.815,206
Ta2SN,3.102,12.55,1.343,1.793,246
Ta2GaC,3.133,13.62,1.229,2.176,194
Ta2GaN,2.982,14.45,1.387,2.226,223
Ta2GeC,3.265,12.49,1.159,1.964,206
Ta2GeN,3.275,12.22,1.124,1.932,217
Ta2AsC,3.344,11.93,1.117,1.865,219
Ta2AsN,3.332,11.89,1.091,1.882,216
Ta2CdC,3.15,14.69,1.202,2.47,168
Ta2CdN,3.137,14.55,1.184,2.453,168
Ta2InC,3.176,14.5,1.201,2.423,175
Ta2InN,3.182,14.26,1.164,2.4,172
Ta2SnC,3.273,13.76,1.136,2.304,176
Ta2SnN,3.281,13.53,1.093,2.29,176
Ta2TlC,3.216,14.48,1.168,2.452,165
Ta2TlN,3.34,13.5,1.023,2.353,136
Ta2PbC,3.317,13.97,1.1,2.393,135
Ta2PbN,3.392,13.44,0.997,2.362,130
W2AlC,3.013,13.68,1.243,2.176,214
W2SiC,3.15,12.22,1.148,1.906,251
W2PC,3.272,11.27,1.059,1.758,242
W2PN,3.367,10.8,0.951,1.75,230
W2GaC,3.087,13.15,1.174,2.115,211
W2GeC,3.18,12.44,1.119,1.99,234
W2AsC,3.298,11.8,1.03,1.92,227
W2AsN,3.391,11.31,0.93,1.896,213
W2CdC,3.05,14.63,1.189,2.468,179
W2CdN,2.868,15.83,1.436,2.521,226
W2InC,3.141,14.02,1.131,2.375,187
W2SnC,3.205,13.54,1.1,2.284,200
W2TlC,3.192,14.01,1.091,2.412,171
W2TlN,3.349,13.18,0.921,2.375,145
W2PbN,3.391,13.07,0.917,2.351,125